id,check_id,checking_peer,state,time
1,0,Ginevra Weasley,start,13:00:00
2,0,Ginevra Weasley,success,13:30:00
3,1,Alex Muss,start,15:00:00
4,1,Alex Muss,success,15:30:00
5,2,Harry Potter,start,19:00:00
6,2,Harry Potter,success,19:30:00
7,3,Hermione Granger,start,11:00:00
8,3,Hermione Granger,failure,11:30:00
9,4,Vincent Crabbe,start,10:00:00
10,4,Vincent Crabbe,success,11:00:00
11,5,Ginevra Weasley,start,20:25:00
12,5,Ginevra Weasley,success,21:00:00
13,6,Alex Muss,start,10:10:00
14,6,Alex Muss,success,10:40:00
15,7,Ronald Weasley,start,12:15:00
16,7,Ronald Weasley,success,12:30:00
17,8,Ginevra Weasley,start,02:00:00
18,8,Ginevra Weasley,success,02:30:00
19,9,Ginevra Weasley,start,15:00:00
20,9,Ginevra Weasley,success,15:30:00
21,10,Ginevra Weasley,start,16:00:00
22,10,Ginevra Weasley,success,16:50:00
23,11,Ginevra Weasley,start,10:00:00
24,11,Ginevra Weasley,success,11:00:00
25,12,Hermione Granger,start,14:00:00
26,12,Hermione Granger,success,14:30:00
